id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration,distance_km,speed_kmh,distance_miles,duration_minutes,estimated_fare
id2875421,2,2016-03-14 17:24:55,2016-03-14 17:32:30,1,-73.98215484619139,40.76793670654297,-73.96463012695312,40.765602111816406,N,455,1.4985207796462985,11.856428146652032,0.9311373553696002,7.583333333333333,8.619510055090666
id2377394,1,2016-06-12 00:43:35,2016-06-12 00:54:38,1,-73.98041534423827,40.738563537597656,-73.99948120117188,40.731151580810554,N,663,1.805507168796529,9.803658835094275,1.121889794982268,11.05,10.829724487455671
id3858529,2,2016-01-19 11:35:24,2016-01-19 12:10:48,1,-73.97902679443358,40.763938903808594,-74.00533294677734,40.710086822509766,N,2124,6.385098495253358,10.82220083941247,3.967515037094074,35.4,30.118787592735185
id3504673,2,2016-04-06 19:32:31,2016-04-06 19:39:40,1,-74.01004028320312,40.719970703125,-74.01226806640625,40.70671844482422,N,429,1.485498422771006,12.465721030246204,0.9230456404556427,7.15,8.382614101139108
id2181028,2,2016-03-26 13:30:55,2016-03-26 13:38:10,1,-73.97305297851561,40.79320907592773,-73.9729232788086,40.782520294189446,N,435,1.18858845933421,9.836594146214152,0.7385543995649574,7.25,7.971385998912393
id0801584,2,2016-01-30 22:01:40,2016-01-30 22:09:03,6,-73.98285675048828,40.74219512939453,-73.99208068847656,40.74918365478516,N,443,1.0989424593065598,8.930457908586039,0.6828509748817764,7.383333333333334,7.898794103871108
id1813257,1,2016-06-17 22:34:59,2016-06-17 22:40:40,4,-73.9690170288086,40.75783920288086,-73.95740509033203,40.76589584350586,N,341,1.3262785770594023,14.001767968955567,0.8241110457059779,5.683333333333334,7.401944280931612
id1324603,2,2016-05-21 07:54:58,2016-05-21 08:20:49,1,-73.96927642822266,40.79777908325195,-73.92247009277344,40.76055908203125,N,1551,5.714980630789352,13.264945371271223,3.5511232295342103,25.85,24.30280807383553
id1301050,1,2016-05-27 23:12:23,2016-05-27 23:16:38,1,-73.99948120117188,40.738399505615234,-73.98578643798828,40.73281478881836,N,255,1.3103532828836584,18.499105170122235,0.8142155297387017,4.25,6.660538824346754
id0012891,2,2016-03-10 21:45:01,2016-03-10 22:05:26,1,-73.98104858398438,40.744338989257805,-73.9729995727539,40.78998947143555,N,1225,5.12116156214139,15.049944182619596,3.1821412810293577,20.416666666666668,20.663686535906727
id1436371,2,2016-05-10 22:08:41,2016-05-10 22:29:55,1,-73.98265075683594,40.76383972167969,-74.00222778320312,40.73299026489258,N,1274,3.80613939487619,10.755181963543395,2.365024641933613,21.233333333333334,19.0292282715007
id1299289,2,2016-05-15 11:16:11,2016-05-15 11:34:59,4,-73.9915313720703,40.74943923950195,-73.95654296875,40.7706298828125,N,1128,3.773095938472321,12.041795548315918,2.3444923963844846,18.8,17.76123099096121
id1187965,2,2016-02-19 09:52:46,2016-02-19 10:11:20,2,-73.96298217773438,40.7566795349121,-73.98440551757811,40.760719299316406,N,1114,1.8594830202285424,6.009101322103009,1.1554288237624297,18.566666666666666,14.671905392739408
id0799785,2,2016-06-01 20:58:29,2016-06-01 21:02:49,1,-73.95630645751953,40.76794052124024,-73.96611022949219,40.76300048828125,N,260,0.9916848505450547,13.731021007546913,0.6162042072680312,4.333333333333333,6.207177184836745
id2900608,2,2016-05-27 00:43:36,2016-05-27 01:07:10,1,-73.99219512939453,40.72722625732422,-73.9746551513672,40.783069610595696,N,1414,6.3828357562739955,16.25050121823648,3.966109036711729,23.566666666666666,24.198605925112656
id3319787,1,2016-05-16 15:29:02,2016-05-16 15:32:33,1,-73.95551300048828,40.768592834472656,-73.94876098632812,40.77154541015625,N,211,0.6565780261385943,11.202279118952319,0.40797854467976447,3.5166666666666666,5.278279695032744
id3379579,2,2016-04-11 17:29:50,2016-04-11 18:08:26,1,-73.99116516113281,40.75556182861328,-73.9992904663086,40.7253532409668,N,2316,3.428085961968512,5.328631028966599,2.130113202274336,38.6,27.12528300568584
